[2026-09-25 13:39:45.194] [S] {"sid": "20260925_133945", "sys_t": "2026-09-25T13:39:45.193935"}
[2026-09-25 13:39:45.195] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 13:39:51.330] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 13:39:51.384] [S] {"map": "Shadowgrid"}
[2026-09-25 13:39:51.408] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 13:39:51.410] [C] {"civ_pos": [148, 24]}
[2026-09-25 13:39:51.884] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 13:39:51.952] [SFX] {"sound": "civ_move_2", "volume": 0.22}
[2026-09-25 13:39:52.103] [SFX] {"sound": "civ_move_1", "volume": 0.23}
[2026-09-25 13:39:52.151] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:39:52.202] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-25 13:39:52.285] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 13:39:52.367] [SFX] {"sound": "civ_move_2", "volume": 0.22}
[2026-09-25 13:39:52.516] [SFX] {"sound": "civ_move_1", "volume": 0.22}
[2026-09-25 13:39:52.567] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:39:52.617] [SFX] {"sound": "civ_move_2", "volume": 0.18}
[2026-09-25 13:39:52.618] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-25 13:39:52.685] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 13:39:52.770] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-25 13:39:52.917] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-25 13:39:52.967] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:39:53.017] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 13:39:53.018] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:39:53.084] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 13:39:53.106] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 13:39:53.181] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:39:53.330] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-25 13:39:53.380] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:39:53.429] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-25 13:39:53.430] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:39:53.495] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:53.521] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 13:39:53.594] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:39:53.676] [M] {"button": 4, "pos": [410, 204], "ui_clicked": false}
[2026-09-25 13:39:53.745] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-25 13:39:53.794] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:53.844] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:39:53.845] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-25 13:39:53.894] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:53.928] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 13:39:53.995] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-25 13:39:54.145] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-25 13:39:54.194] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:54.259] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 13:39:54.259] [SFX] {"sound": "civ_move_2", "volume": 0.22}
[2026-09-25 13:39:54.311] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:54.344] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 13:39:54.411] [SFX] {"sound": "civ_move_2", "volume": 0.18}
[2026-09-25 13:39:54.546] [SFX] {"sound": "civ_move_1", "volume": 0.17}
[2026-09-25 13:39:54.596] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:39:54.660] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:39:54.661] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-25 13:39:54.727] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:39:54.763] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 13:39:54.815] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 13:39:54.947] [SFX] {"sound": "civ_move_1", "volume": 0.16}
[2026-09-25 13:39:54.997] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 13:39:55.064] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:39:55.065] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-25 13:39:55.132] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:39:55.164] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 13:39:55.231] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-25 13:39:55.362] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 13:39:55.478] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 13:39:55.479] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:39:55.545] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:39:55.581] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 13:39:55.635] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:39:55.767] [SFX] {"sound": "civ_move_1", "volume": 0.14}
