[2026-09-25 10:54:22.874] [S] {"sid": "20260925_105422", "sys_t": "2026-09-25T10:54:22.873780"}
[2026-09-25 10:54:22.875] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 10:54:33.894] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 10:54:33.942] [S] {"map": "Shadowgrid"}
[2026-09-25 10:54:33.961] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 10:54:34.720] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 10:54:35.134] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 10:54:35.934] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 10:54:36.334] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:54:36.750] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:54:37.159] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:54:37.562] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:54:37.977] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:54:38.377] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:54:38.777] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 10:54:39.520] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:54:39.921] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:54:40.322] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:54:40.727] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:54:41.128] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:54:41.939] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:54:42.354] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 10:54:42.767] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 10:54:43.180] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 10:54:43.594] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 10:54:43.994] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 10:54:45.235] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 10:54:45.638] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 10:54:46.054] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 10:54:46.480] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 10:54:46.881] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 10:54:47.179] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 10:54:47.294] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 10:54:47.596] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:54:47.696] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 10:54:48.008] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:54:48.108] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 10:54:48.421] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:54:48.521] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 10:54:48.821] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:54:48.921] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 10:54:49.236] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:54:49.334] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 10:54:49.649] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:54:49.750] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 10:54:50.063] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 10:54:50.162] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 10:54:50.569] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 10:54:50.884] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 10:54:50.985] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:54:51.285] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 10:54:51.400] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:54:51.713] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 10:54:51.813] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:54:52.118] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 10:54:52.217] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:54:52.530] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 10:54:52.629] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:54:52.946] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 10:54:53.044] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:54:53.358] [SFX] {"sound": "civ_move_2", "volume": 0.07}
