[2026-09-25 11:27:32.879] [S] {"sid": "20260925_112732", "sys_t": "2026-09-25T11:27:32.879515"}
[2026-09-25 11:27:32.880] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 11:27:36.164] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 11:27:36.219] [S] {"map": "Shadowgrid"}
[2026-09-25 11:27:36.240] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 11:27:36.750] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 11:27:36.782] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:27:37.013] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:27:37.039] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 11:27:37.151] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-25 11:27:37.184] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 11:27:37.429] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 11:27:37.451] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 11:27:37.563] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-25 11:27:37.597] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 11:27:37.842] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 11:27:37.865] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-25 11:27:37.976] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-25 11:27:38.010] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 11:27:38.261] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 11:27:38.262] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 11:27:38.377] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-25 11:27:38.410] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 11:27:38.662] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 11:27:38.663] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:27:38.777] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 11:27:38.819] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 11:27:39.066] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 11:27:39.066] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:27:39.180] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 11:27:39.230] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 11:27:39.478] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 11:27:39.478] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 11:27:39.593] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 11:27:39.644] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-25 11:27:39.877] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 11:27:39.994] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 11:27:40.044] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-25 11:27:40.289] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 11:27:40.407] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 11:27:40.457] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-25 11:27:40.704] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 11:27:40.817] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 11:27:40.869] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 11:27:41.106] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 11:27:41.221] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:27:41.269] [SFX] {"sound": "civ_move_1", "volume": 0.16}
[2026-09-25 11:27:41.515] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 11:27:41.629] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 11:27:41.678] [SFX] {"sound": "civ_move_1", "volume": 0.17}
[2026-09-25 11:27:41.928] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 11:27:42.045] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 11:27:42.091] [SFX] {"sound": "civ_move_1", "volume": 0.17}
[2026-09-25 11:27:42.338] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 11:27:42.451] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:27:42.500] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-25 11:27:42.750] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 11:27:42.868] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 11:27:42.901] [SFX] {"sound": "civ_move_1", "volume": 0.17}
