[2026-09-25 13:10:22.202] [S] {"sid": "20260925_131022", "sys_t": "2026-09-25T13:10:22.201722"}
[2026-09-25 13:10:22.203] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 13:10:31.712] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 13:10:31.765] [S] {"map": "Shadowgrid"}
[2026-09-25 13:10:31.786] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 13:10:32.360] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 13:10:32.422] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 13:10:32.504] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-25 13:10:32.771] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 13:10:32.819] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 13:10:32.918] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 13:10:33.187] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 13:10:33.221] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 13:10:33.323] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 13:10:33.587] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 13:10:33.635] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 13:10:33.733] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 13:10:33.998] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 13:10:34.050] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 13:10:34.148] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 13:10:34.410] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 13:10:34.460] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 13:10:34.563] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 13:10:34.812] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 13:10:34.861] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 13:10:34.976] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 13:10:35.223] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:10:35.389] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 13:10:35.637] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:10:35.800] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 13:10:36.048] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:10:36.214] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 13:10:36.628] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 13:10:37.028] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 13:10:37.428] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 13:10:37.840] [SFX] {"sound": "civ_move_1", "volume": 0.0}
