[2026-09-25 16:36:47.459] [S] {"sid": "20260925_163647", "sys_t": "2026-09-25T16:36:47.459414"}
[2026-09-25 16:36:47.461] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 16:36:58.466] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 16:36:58.515] [S] {"map": "Shadowgrid"}
[2026-09-25 16:36:58.537] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 16:36:59.035] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 16:36:59.199] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-25 16:36:59.441] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 16:36:59.594] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 16:36:59.856] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 16:37:00.005] [SFX] {"sound": "civ_move_1", "volume": 0.16}
[2026-09-25 16:37:00.271] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 16:37:00.406] [SFX] {"sound": "civ_move_1", "volume": 0.17}
[2026-09-25 16:37:00.688] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 16:37:00.818] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-25 16:37:01.099] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 16:37:01.230] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-25 16:37:01.508] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 16:37:01.635] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-25 16:37:01.919] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 16:37:01.941] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 16:37:02.034] [SFX] {"sound": "civ_move_1", "volume": 0.22}
[2026-09-25 16:37:02.330] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 16:37:02.354] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 16:37:02.447] [SFX] {"sound": "civ_move_1", "volume": 0.23}
[2026-09-25 16:37:02.731] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 16:37:02.755] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 16:37:02.850] [SFX] {"sound": "civ_move_1", "volume": 0.25}
[2026-09-25 16:37:03.141] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 16:37:03.258] [SFX] {"sound": "civ_move_1", "volume": 0.26}
[2026-09-25 16:37:03.551] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 16:37:03.575] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 16:37:03.666] [SFX] {"sound": "civ_move_1", "volume": 0.27}
[2026-09-25 16:37:03.949] [C] {"civ_pos": [86, 22]}
[2026-09-25 16:37:03.996] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 16:37:04.011] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 16:37:04.072] [SFX] {"sound": "civ_move_1", "volume": 0.28}
[2026-09-25 16:37:04.370] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 16:37:04.420] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 16:37:04.487] [SFX] {"sound": "civ_move_1", "volume": 0.23}
[2026-09-25 16:37:04.585] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 16:37:04.786] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 16:37:04.836] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 16:37:04.902] [SFX] {"sound": "civ_move_1", "volume": 0.22}
[2026-09-25 16:37:04.996] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 16:37:05.243] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 16:37:05.308] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-25 16:37:05.410] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 16:37:05.643] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 16:37:05.708] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-25 16:37:05.809] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 16:37:06.059] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 16:37:06.125] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-25 16:37:06.225] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 16:37:06.473] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 16:37:06.539] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-25 16:37:06.641] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 16:37:06.873] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 16:37:06.940] [SFX] {"sound": "civ_move_1", "volume": 0.17}
[2026-09-25 16:37:07.041] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 16:37:07.275] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 16:37:07.342] [SFX] {"sound": "civ_move_1", "volume": 0.16}
[2026-09-25 16:37:07.443] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 16:37:07.678] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 16:37:07.745] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 16:37:07.810] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 16:37:07.842] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 16:37:08.092] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 16:37:08.159] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-25 16:37:08.225] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 16:37:08.257] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 16:37:08.506] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 16:37:08.572] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-25 16:37:08.639] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 16:37:08.672] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 16:37:08.739] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 16:37:08.922] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 16:37:08.973] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-25 16:37:09.039] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 16:37:09.072] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 16:37:09.155] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 16:37:09.338] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 16:37:09.338] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 16:37:09.388] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-25 16:37:09.421] [M] {"button": 1, "pos": [322, 227], "ui_clicked": false}
[2026-09-25 16:37:09.429] [P] {"start": [84, 22], "goal": [84, 27], "length": 5, "is_direction_change": false}
[2026-09-25 16:37:09.429] [SFX] {"sound": "click_target", "volume": 0.68}
[2026-09-25 16:37:09.476] [JACK] Kleine Schritte. Immer die Augen nach IoT-Sensoren und Sentinels offen halten.
[2026-09-25 16:37:09.476] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 16:37:09.492] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 16:37:09.493] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 16:37:09.568] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 16:37:09.751] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 16:37:09.752] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-25 16:37:09.753] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 16:37:09.801] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-25 16:37:09.885] [SFX] {"sound": "civ_move_2", "volume": 0.06}
