[2026-09-25 16:34:46.761] [S] {"sid": "20260925_163446", "sys_t": "2026-09-25T16:34:46.761353"}
[2026-09-25 16:34:46.762] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 16:34:48.798] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 16:34:48.848] [S] {"map": "Shadowgrid"}
[2026-09-25 16:34:48.872] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 16:34:49.477] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-25 16:34:49.593] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-25 16:34:49.888] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 16:34:49.993] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-25 16:34:50.292] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 16:34:50.405] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-25 16:34:50.703] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 16:34:50.821] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-25 16:34:51.104] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 16:34:51.232] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-25 16:34:51.510] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 16:34:51.641] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-25 16:34:51.690] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 16:34:51.924] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 16:34:52.056] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-25 16:34:52.107] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 16:34:52.339] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 16:34:52.469] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-25 16:34:52.521] [SFX] {"sound": "civ_move_2", "volume": 0.02}
