[2026-09-25 11:30:41.662] [S] {"sid": "20260925_113041", "sys_t": "2026-09-25T11:30:41.661943"}
[2026-09-25 11:30:41.663] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 11:30:51.281] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 11:30:51.328] [S] {"map": "Shadowgrid"}
[2026-09-25 11:30:51.348] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 11:30:51.770] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 11:30:51.832] [SFX] {"sound": "guardian_move", "volume": 0.06}
[2026-09-25 11:30:51.856] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 11:30:52.171] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 11:30:52.172] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 11:30:52.270] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 11:30:52.435] [SFX] {"sound": "guardian_move", "volume": 0.08}
[2026-09-25 11:30:52.584] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 11:30:52.584] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 11:30:52.682] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 11:30:52.986] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:30:52.987] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 11:30:53.051] [SFX] {"sound": "guardian_move", "volume": 0.09}
[2026-09-25 11:30:53.084] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:30:53.397] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 11:30:53.398] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 11:30:53.499] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:30:53.665] [SFX] {"sound": "guardian_move", "volume": 0.1}
[2026-09-25 11:30:53.807] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 11:30:53.909] [SFX] {"sound": "civ_move_1", "volume": 0.02}
