[2026-09-25 10:51:58.697] [S] {"sid": "20260925_105158", "sys_t": "2026-09-25T10:51:58.697054"}
[2026-09-25 10:51:58.698] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 10:52:09.749] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 10:52:09.796] [S] {"map": "Shadowgrid"}
[2026-09-25 10:52:09.816] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 10:52:09.818] [SFX] {"sound": "guardian_move", "volume": 0.25}
[2026-09-25 10:52:10.419] [SFX] {"sound": "guardian_move", "volume": 0.26}
[2026-09-25 10:52:10.608] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:52:11.005] [SFX] {"sound": "guardian_move", "volume": 0.24}
[2026-09-25 10:52:11.030] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:52:11.433] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:11.612] [SFX] {"sound": "guardian_move", "volume": 0.24}
[2026-09-25 10:52:11.841] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:12.221] [SFX] {"sound": "guardian_move", "volume": 0.23}
[2026-09-25 10:52:12.255] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:52:12.664] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 10:52:12.829] [SFX] {"sound": "guardian_move", "volume": 0.22}
[2026-09-25 10:52:13.440] [SFX] {"sound": "guardian_move", "volume": 0.23}
[2026-09-25 10:52:14.003] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 10:52:14.053] [SFX] {"sound": "guardian_move", "volume": 0.24}
[2026-09-25 10:52:14.416] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 10:52:14.661] [SFX] {"sound": "guardian_move", "volume": 0.25}
[2026-09-25 10:52:14.827] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 10:52:15.240] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 10:52:15.273] [SFX] {"sound": "guardian_move", "volume": 0.26}
[2026-09-25 10:52:15.653] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 10:52:15.885] [SFX] {"sound": "guardian_move", "volume": 0.27}
[2026-09-25 10:52:16.068] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 10:52:16.481] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 10:52:16.502] [SFX] {"sound": "guardian_move", "volume": 0.27}
[2026-09-25 10:52:16.795] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 10:52:16.894] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 10:52:17.111] [SFX] {"sound": "guardian_move", "volume": 0.26}
[2026-09-25 10:52:17.201] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:52:17.300] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 10:52:17.616] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:17.699] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 10:52:17.722] [SFX] {"sound": "guardian_move", "volume": 0.25}
[2026-09-25 10:52:18.030] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:52:18.113] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 10:52:18.320] [SFX] {"sound": "guardian_move", "volume": 0.23}
[2026-09-25 10:52:18.437] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:52:18.519] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 10:52:18.841] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:52:18.925] [SFX] {"sound": "guardian_move", "volume": 0.21}
[2026-09-25 10:52:18.926] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 10:52:19.258] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:52:19.341] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 10:52:19.536] [SFX] {"sound": "guardian_move", "volume": 0.2}
[2026-09-25 10:52:19.666] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:52:19.750] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 10:52:19.800] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 10:52:20.079] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:52:20.147] [SFX] {"sound": "guardian_move", "volume": 0.18}
[2026-09-25 10:52:20.169] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 10:52:20.212] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:52:20.510] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:52:20.578] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 10:52:20.612] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:20.749] [SFX] {"sound": "guardian_move", "volume": 0.16}
[2026-09-25 10:52:20.916] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:52:21.014] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:52:21.362] [SFX] {"sound": "guardian_move", "volume": 0.14}
[2026-09-25 10:52:21.429] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:52:21.741] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:21.843] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:52:21.975] [SFX] {"sound": "guardian_move", "volume": 0.12}
[2026-09-25 10:52:22.158] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:22.256] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:52:22.568] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:52:22.590] [SFX] {"sound": "guardian_move", "volume": 0.1}
[2026-09-25 10:52:22.668] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 10:52:23.197] [SFX] {"sound": "guardian_move", "volume": 0.08}
[2026-09-25 10:52:23.490] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 10:52:23.803] [SFX] {"sound": "guardian_move", "volume": 0.07}
[2026-09-25 10:52:23.902] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 10:52:24.412] [SFX] {"sound": "guardian_move", "volume": 0.05}
[2026-09-25 10:52:24.728] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:52:25.025] [SFX] {"sound": "guardian_move", "volume": 0.03}
[2026-09-25 10:52:25.139] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 10:52:25.553] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 10:52:25.635] [SFX] {"sound": "guardian_move", "volume": 0.01}
[2026-09-25 10:52:25.962] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 10:52:26.376] [SFX] {"sound": "civ_move_2", "volume": 0.0}
