[2026-09-26 02:00:28.094] [S] {"sid": "20260926_020028", "sys_t": "2026-09-26T02:00:28.093802"}
[2026-09-26 02:00:28.095] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-26 02:00:30.276] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-26 02:00:30.322] [S] {"map": "Shadowgrid"}
[2026-09-26 02:00:30.348] [JACK] Ich hab mich wieder im Shadowgrid eingeklinkt... Mein Deck läuft, aber der Grid ist gefährlich. Tipp: Mit 'disp.drv' sehe ich das Nebel-Raster!
[2026-09-26 02:00:30.350] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-26 02:00:30.351] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-26 02:00:30.449] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-26 02:00:30.482] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-26 02:00:30.531] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-26 02:00:30.629] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-26 02:00:30.746] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-26 02:00:30.747] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-26 02:00:30.863] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-26 02:00:30.895] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-26 02:00:30.945] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:31.044] [SFX] {"sound": "civ_move_1", "volume": 0.21}
[2026-09-26 02:00:31.160] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-26 02:00:31.161] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-26 02:00:31.292] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-26 02:00:31.325] [SFX] {"sound": "civ_move_1", "volume": 0.14}
[2026-09-26 02:00:31.375] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:31.473] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-26 02:00:31.495] [SFX] {"sound": "guardian_move", "volume": 0.1}
[2026-09-26 02:00:31.592] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-26 02:00:31.593] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-26 02:00:31.707] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:31.752] [SFX] {"sound": "civ_move_1", "volume": 0.13}
[2026-09-26 02:00:31.787] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:31.886] [SFX] {"sound": "civ_move_1", "volume": 0.2}
[2026-09-26 02:00:32.002] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-26 02:00:32.003] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-26 02:00:32.119] [SFX] {"sound": "guardian_move", "volume": 0.12}
[2026-09-26 02:00:32.120] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-26 02:00:32.153] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-26 02:00:32.154] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-26 02:00:32.186] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-26 02:00:32.285] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-26 02:00:32.403] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-26 02:00:32.403] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-26 02:00:32.535] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-26 02:00:32.567] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-26 02:00:32.568] [SFX] {"sound": "civ_move_1", "volume": 0.12}
[2026-09-26 02:00:32.600] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-26 02:00:32.697] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-26 02:00:32.732] [SFX] {"sound": "guardian_move", "volume": 0.13}
[2026-09-26 02:00:32.814] [SFX] {"sound": "civ_move_2", "volume": 0.18}
[2026-09-26 02:00:32.814] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-26 02:00:32.980] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-26 02:00:32.981] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-26 02:00:33.015] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-26 02:00:33.100] [SFX] {"sound": "civ_move_1", "volume": 0.18}
[2026-09-26 02:00:33.199] [M] {"button": 1, "pos": [357, 205], "ui_clicked": false}
[2026-09-26 02:00:33.207] [P] {"start": [190, 6], "goal": [194, 9], "length": 4, "is_direction_change": false}
[2026-09-26 02:00:33.208] [SFX] {"sound": "click_target", "volume": 0.69}
[2026-09-26 02:00:33.243] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-26 02:00:33.244] [SFX] {"sound": "civ_move_2", "volume": 0.18}
[2026-09-26 02:00:33.245] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:33.335] [SFX] {"sound": "guardian_move", "volume": 0.14}
[2026-09-26 02:00:33.358] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-26 02:00:33.385] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-26 02:00:33.386] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-26 02:00:33.419] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-26 02:00:33.501] [SFX] {"sound": "civ_move_1", "volume": 0.19}
[2026-09-26 02:00:33.523] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-26 02:00:33.633] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-26 02:00:33.634] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-26 02:00:33.767] [SFX] {"sound": "civ_move_2", "volume": 0.15}
