[2026-09-25 13:35:23.522] [S] {"sid": "20260925_133523", "sys_t": "2026-09-25T13:35:23.522068"}
[2026-09-25 13:35:23.523] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 13:35:27.249] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 13:35:27.301] [S] {"map": "Shadowgrid"}
[2026-09-25 13:35:27.325] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 13:35:27.328] [C] {"civ_pos": [109, 2]}
[2026-09-25 13:35:27.822] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 13:35:27.940] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 13:35:28.040] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:28.090] [SFX] {"sound": "civ_move_2", "volume": 0.28}
[2026-09-25 13:35:28.352] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 13:35:28.452] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:28.501] [SFX] {"sound": "civ_move_2", "volume": 0.27}
[2026-09-25 13:35:28.766] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 13:35:28.864] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:35:28.914] [SFX] {"sound": "civ_move_2", "volume": 0.26}
[2026-09-25 13:35:29.267] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:29.318] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:35:29.682] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:29.717] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-25 13:35:30.085] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:30.118] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-25 13:35:30.498] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:35:30.532] [SFX] {"sound": "civ_move_2", "volume": 0.24}
[2026-09-25 13:35:30.912] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 13:35:30.948] [SFX] {"sound": "civ_move_2", "volume": 0.23}
[2026-09-25 13:35:31.313] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 13:35:31.362] [SFX] {"sound": "civ_move_2", "volume": 0.21}
[2026-09-25 13:35:31.724] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 13:35:31.774] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 13:35:32.139] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 13:35:32.189] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-25 13:35:32.555] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 13:35:32.604] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-25 13:35:32.967] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 13:35:33.016] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:35:33.380] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 13:35:33.428] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:35:33.790] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 13:35:33.840] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:35:34.201] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 13:35:34.252] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 13:35:34.614] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 13:35:34.664] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 13:35:35.029] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 13:35:35.077] [SFX] {"sound": "civ_move_2", "volume": 0.15}
[2026-09-25 13:35:35.443] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 13:35:35.494] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 13:35:35.859] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:35:35.893] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:36.273] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 13:35:36.310] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:36.675] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 13:35:36.725] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:35:37.089] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 13:35:37.138] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:37.507] [SFX] {"sound": "civ_move_2", "volume": 0.0}
[2026-09-25 13:35:37.540] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:35:37.948] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 13:35:39.188] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 13:35:39.990] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 13:35:40.403] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 13:35:40.670] [M] {"button": 1, "pos": [299, 211], "ui_clicked": false}
[2026-09-25 13:35:40.803] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 13:35:41.184] [M] {"button": 1, "pos": [305, 214], "ui_clicked": false}
[2026-09-25 13:35:41.191] [P] {"start": [108, 2], "goal": [106, 6], "length": 3, "is_direction_change": false}
[2026-09-25 13:35:41.192] [SFX] {"sound": "click_target", "volume": 0.71}
[2026-09-25 13:35:41.229] [JACK] Kleine Schritte. Immer auf die Umgebung achten.
[2026-09-25 13:35:41.231] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 13:35:41.245] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 13:35:41.507] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 13:35:41.641] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 13:35:42.005] [SFX] {"sound": "guardian_move", "volume": 0.03}
[2026-09-25 13:35:42.042] [SFX] {"sound": "civ_move_2", "volume": 0.08}
