[2026-09-25 11:05:45.676] [S] {"sid": "20260925_110545", "sys_t": "2026-09-25T11:05:45.676425"}
[2026-09-25 11:05:45.677] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 11:05:56.730] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 11:05:56.778] [S] {"map": "Shadowgrid"}
[2026-09-25 11:05:56.798] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 11:05:57.337] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 11:05:57.517] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 11:05:57.739] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 11:05:57.908] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:05:58.026] [SFX] {"sound": "guardian_move", "volume": 0.01}
[2026-09-25 11:05:58.140] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 11:05:58.308] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 11:05:58.555] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 11:05:58.637] [SFX] {"sound": "guardian_move", "volume": 0.03}
[2026-09-25 11:05:58.966] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 11:05:59.250] [SFX] {"sound": "guardian_move", "volume": 0.04}
[2026-09-25 11:05:59.378] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:05:59.743] [M] {"button": 1, "pos": [341, 235], "ui_clicked": false}
[2026-09-25 11:05:59.750] [P] {"start": [204, 14], "goal": [206, 20], "length": 3, "is_direction_change": false}
[2026-09-25 11:05:59.751] [SFX] {"sound": "click_target", "volume": 0.65}
[2026-09-25 11:05:59.797] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 11:05:59.809] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:05:59.855] [SFX] {"sound": "guardian_move", "volume": 0.08}
[2026-09-25 11:05:59.953] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 11:06:00.069] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 11:06:00.218] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:06:00.367] [SFX] {"sound": "civ_move_2", "volume": 0.02}
