[2026-09-25 12:18:35.018] [S] {"sid": "20260925_121835", "sys_t": "2026-09-25T12:18:35.018520"}
[2026-09-25 12:18:35.020] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 12:18:46.065] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 12:18:46.113] [S] {"map": "Shadowgrid"}
[2026-09-25 12:18:46.133] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 12:18:46.392] [SFX] {"sound": "guardian_move", "volume": 0.21}
[2026-09-25 12:18:46.473] [SFX] {"sound": "guardian_move", "volume": 0.05}
[2026-09-25 12:18:46.580] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 12:18:46.647] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 12:18:46.667] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 12:18:46.991] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 12:18:47.013] [SFX] {"sound": "guardian_move", "volume": 0.21}
[2026-09-25 12:18:47.058] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 12:18:47.059] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 12:18:47.079] [SFX] {"sound": "guardian_move", "volume": 0.05}
[2026-09-25 12:18:47.080] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 12:18:47.403] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 12:18:47.471] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 12:18:47.472] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 12:18:47.493] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 12:18:47.616] [SFX] {"sound": "guardian_move", "volume": 0.21}
[2026-09-25 12:18:47.682] [SFX] {"sound": "guardian_move", "volume": 0.04}
[2026-09-25 12:18:47.813] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 12:18:47.880] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 12:18:47.881] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 12:18:47.903] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 12:18:48.213] [SFX] {"sound": "civ_move_2", "volume": 0.02}
