[2026-09-24 21:35:51.939] [S] {"sid": "20260924_213551", "sys_t": "2026-09-24T21:35:51.937716"}
[2026-09-24 21:35:51.939] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-24 21:35:52.746] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-24 21:35:52.810] [JACK] CYBERDECK OS v4.2 // SYSTEME BEREIT
[2026-09-24 21:35:52.885] [SFX] {"sound": "guardian_move", "volume": 0.17}
[2026-09-24 21:35:52.983] [SFX] {"sound": "guardian_move", "volume": 0.16}
[2026-09-24 21:35:53.300] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-24 21:35:53.414] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-24 21:35:53.482] [SFX] {"sound": "civ_move_2", "volume": 0.16}
[2026-09-24 21:35:53.505] [SFX] {"sound": "guardian_move", "volume": 0.17}
[2026-09-24 21:35:53.505] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-24 21:35:53.597] [SFX] {"sound": "guardian_move", "volume": 0.17}
[2026-09-24 21:35:53.598] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-24 21:35:53.621] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-24 21:35:53.714] [SFX] {"sound": "civ_move_1", "volume": 0.11}
[2026-09-24 21:35:53.828] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-24 21:35:53.895] [SFX] {"sound": "civ_move_2", "volume": 0.17}
[2026-09-24 21:35:53.917] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-24 21:35:54.012] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-24 21:35:54.033] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-24 21:35:54.112] [SFX] {"sound": "guardian_move", "volume": 0.17}
[2026-09-24 21:35:54.128] [M] {"button": 1, "pos": [321, 225], "ui_clicked": false}
[2026-09-24 21:35:54.135] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-24 21:35:54.136] [P] {"start": [226, 20], "goal": [226, 25], "length": 1, "is_direction_change": false}
[2026-09-24 21:35:54.136] [SFX] {"sound": "click_target", "volume": 0.69}
[2026-09-24 21:35:54.155] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-24 21:35:54.210] [SFX] {"sound": "guardian_move", "volume": 0.19}
[2026-09-24 21:35:54.245] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-24 21:35:54.311] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-24 21:35:54.311] [SFX] {"sound": "civ_move_2", "volume": 0.19}
[2026-09-24 21:35:54.427] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-24 21:35:54.449] [SFX] {"sound": "civ_move_2", "volume": 0.26}
[2026-09-24 21:35:54.449] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-24 21:35:54.544] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-24 21:35:54.644] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-24 21:35:54.711] [SFX] {"sound": "guardian_move", "volume": 0.19}
[2026-09-24 21:35:54.712] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-24 21:35:54.713] [SFX] {"sound": "civ_move_2", "volume": 0.2}
[2026-09-24 21:35:54.811] [SFX] {"sound": "guardian_move", "volume": 0.21}
