[2026-09-25 15:22:19.839] [S] {"sid": "20260925_152219", "sys_t": "2026-09-25T15:22:19.839173"}
[2026-09-25 15:22:19.840] [SFX] {"sound": "hack_success", "volume": 0.8}
[2026-09-25 15:22:21.423] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 15:22:21.476] [S] {"map": "Shadowgrid"}
[2026-09-25 15:22:21.500] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 15:22:22.027] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 15:22:22.063] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 15:22:22.081] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 15:22:22.096] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 15:22:22.306] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 15:22:22.440] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 15:22:22.477] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:22.493] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 15:22:22.510] [SFX] {"sound": "civ_move_2", "volume": 0.01}
[2026-09-25 15:22:22.721] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 15:22:22.842] [SFX] {"sound": "civ_move_1", "volume": 0.0}
[2026-09-25 15:22:22.863] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:22.891] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 15:22:22.914] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 15:22:23.124] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 15:22:23.258] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:23.307] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 15:22:23.333] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 15:22:23.538] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 15:22:23.672] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:23.722] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 15:22:23.744] [SFX] {"sound": "civ_move_2", "volume": 0.03}
[2026-09-25 15:22:23.948] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 15:22:24.079] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:24.128] [SFX] {"sound": "civ_move_2", "volume": 0.14}
[2026-09-25 15:22:24.164] [SFX] {"sound": "civ_move_2", "volume": 0.04}
[2026-09-25 15:22:24.358] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 15:22:24.491] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:24.542] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 15:22:24.565] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 15:22:24.759] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 15:22:24.893] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:24.942] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 15:22:24.973] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 15:22:25.165] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 15:22:25.295] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:25.346] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 15:22:25.369] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 15:22:25.573] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 15:22:25.709] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:25.757] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 15:22:25.781] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 15:22:25.809] [M] {"button": 1, "pos": [341, 219], "ui_clicked": false}
[2026-09-25 15:22:25.817] [P] {"start": [38, 62], "goal": [40, 66], "length": 2, "is_direction_change": false}
[2026-09-25 15:22:25.818] [SFX] {"sound": "click_target", "volume": 0.69}
[2026-09-25 15:22:25.839] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 15:22:25.978] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 15:22:26.112] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 15:22:26.161] [SFX] {"sound": "civ_move_2", "volume": 0.13}
[2026-09-25 15:22:26.184] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 15:22:26.393] [SFX] {"sound": "civ_move_1", "volume": 0.1}
[2026-09-25 15:22:26.525] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 15:22:26.575] [SFX] {"sound": "civ_move_2", "volume": 0.12}
[2026-09-25 15:22:26.597] [SFX] {"sound": "civ_move_2", "volume": 0.09}
[2026-09-25 15:22:26.807] [SFX] {"sound": "civ_move_1", "volume": 0.09}
[2026-09-25 15:22:26.941] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:26.976] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 15:22:27.010] [SFX] {"sound": "civ_move_2", "volume": 0.08}
[2026-09-25 15:22:27.211] [SFX] {"sound": "civ_move_1", "volume": 0.08}
[2026-09-25 15:22:27.345] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:27.378] [SFX] {"sound": "civ_move_2", "volume": 0.11}
[2026-09-25 15:22:27.412] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:27.627] [SFX] {"sound": "civ_move_1", "volume": 0.07}
[2026-09-25 15:22:27.760] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:27.792] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 15:22:27.827] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 15:22:28.027] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 15:22:28.178] [SFX] {"sound": "civ_move_2", "volume": 0.06}
[2026-09-25 15:22:28.199] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 15:22:28.225] [SFX] {"sound": "civ_move_1", "volume": 0.01}
[2026-09-25 15:22:28.246] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 15:22:28.439] [M] {"button": 1, "pos": [353, 220], "ui_clicked": false}
[2026-09-25 15:22:28.446] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 15:22:28.447] [P] {"start": [40, 66], "goal": [44, 70], "length": 12, "is_direction_change": false}
[2026-09-25 15:22:28.447] [SFX] {"sound": "click_target", "volume": 0.67}
[2026-09-25 15:22:28.468] [JACK] Kleine Schritte. Immer die Augen nach IoT-Sensoren und Sentinels offen halten.
[2026-09-25 15:22:28.481] [SFX] {"sound": "player_move", "volume": 0.4}
[2026-09-25 15:22:28.589] [SFX] {"sound": "civ_move_2", "volume": 0.07}
[2026-09-25 15:22:28.611] [SFX] {"sound": "civ_move_2", "volume": 0.1}
[2026-09-25 15:22:28.637] [SFX] {"sound": "civ_move_1", "volume": 0.04}
[2026-09-25 15:22:28.660] [SFX] {"sound": "civ_move_2", "volume": 0.05}
[2026-09-25 15:22:28.787] [SFX] {"sound": "player_move", "volume": 0.4}
